Row: 0 instance_id=NULL, compilation=NULL, disc_number=NULL, duration=NULL, album_artist=NULL, description=NULL, picasa_id=NULL, resolution=956×1700, latitude=NULL, orientation=NULL, artist=NULL, author=NULL, inferred_date=NULL, height=1700, is_drm=0, bucket_display_name=QQ_Images, owner_package_name=com.tencent.mobileqq, f_number=NULL, volume_name=external_primary, date_modified=1659231583, writer=NULL, date_expires=NULL, composer=NULL, _display_name=1659231583293.jpeg, scene_capture_type=NULL, datetaken=NULL, mime_type=image/jpeg, bitrate=NULL, cd_track_number=NULL, _id=54, iso=NULL, xmp=BLOB, year=NULL, oem_metadata=NULL, _data=/storage/emulated/0/Tencent/QQ_Images/1659231583293.jpeg, _size=437958, album=NULL, genre=NULL, title=1659231583293, width=956, longitude=NULL, is_favorite=0, is_trashed=0, exposure_time=NULL, group_id=NULL, document_id=NULL, generation_added=105, is_download=0, generation_modified=106, is_pending=0, date_added=1659231583, mini_thumb_magic=NULL, capture_framerate=NULL, num_tracks=NULL, isprivate=NULL, original_document_id=NULL, bucket_id=97354131, relative_path=Tencent/QQ_Images/
Row: 1 instance_id=NULL, compilation=NULL, disc_number=NULL, duration=NULL, album_artist=NULL, description=NULL, picasa_id=NULL, resolution=1440×1920, latitude=NULL, orientation=NULL, artist=NULL, author=NULL, inferred_date=NULL, height=1920, is_drm=0, bucket_display_name=QQ, owner_package_name=com.tencent.mobileqq, f_number=NULL, volume_name=external_primary, date_modified=1667489654, writer=NULL, date_expires=NULL, composer=NULL, _display_name=-5be0c8e60436714d.jpg, scene_capture_type=NULL, datetaken=NULL, mime_type=image/jpeg, bitrate=NULL, cd_track_number=NULL, _id=1984, iso=368, xmp=BLOB, year=NULL, oem_metadata=NULL, _data=/storage/emulated/0/Pictures/QQ/-5be0c8e60436714d.jpg, _size=214490, album=NULL, genre=NULL, title=-5be0c8e60436714d, width=1440, longitude=NULL, is_favorite=0, is_trashed=0, exposure_time=NULL, group_id=NULL, document_id=NULL, generation_added=6816, is_download=0, generation_modified=6820, is_pending=0, date_added=1667489654, mini_thumb_magic=NULL, capture_framerate=NULL, num_tracks=NULL, isprivate=NULL, original_document_id=NULL, bucket_id=991102496, relative_path=Pictures/QQ/
Row: 2 instance_id=NULL, compilation=NULL, disc_number=NULL, duration=NULL, album_artist=NULL, description=NULL, picasa_id=NULL, resolution=1080×1080, latitude=NULL, orientation=NULL, artist=NULL, author=NULL, inferred_date=NULL, height=1080, is_drm=0, bucket_display_name=WeiXin, owner_package_name=com.tencent.mm, f_number=NULL, volume_name=external_primary, date_modified=1675994602, writer=NULL, date_expires=NULL, composer=NULL, _display_name=mmexport1675994602384.png, scene_capture_type=NULL, datetaken=NULL, mime_type=image/png, bitrate=NULL, cd_track_number=NULL, _id=1000000145, iso=NULL, xmp=BLOB, year=NULL, oem_metadata=NULL, _data=/storage/emulated/0/Pictures/WeiXin/mmexport1675994602384.png, _size=114269, album=NULL, genre=NULL, title=mmexport1675994602384, width=1080, longitude=NULL, is_favorite=0, is_trashed=0, exposure_time=NULL, group_id=NULL, document_id=NULL, generation_added=9471, is_download=0, generation_modified=9479, is_pending=0, date_added=1675994602, mini_thumb_magic=NULL, capture_framerate=NULL, num_tracks=NULL, isprivate=NULL, original_document_id=NULL, bucket_id=-643270046, relative_path=Pictures/WeiXin/
Row: 3 instance_id=NULL, compilation=NULL, disc_number=NULL, duration=NULL, album_artist=NULL, description=NULL, picasa_id=NULL, resolution=960×1281, latitude=NULL, orientation=0, artist=NULL, author=NULL, inferred_date=NULL, height=1281, is_drm=0, bucket_display_name=bili, owner_package_name=tv.danmaku.bili, f_number=NULL, volume_name=external_primary, date_modified=1696730060, writer=NULL, date_expires=NULL, composer=NULL, _display_name=1696730060702.jpg, scene_capture_type=NULL, datetaken=NULL, mime_type=image/jpeg, bitrate=NULL, cd_track_number=NULL, _id=1000003813, iso=NULL, xmp=BLOB, year=NULL, oem_metadata=NULL, _data=/storage/emulated/0/Pictures/bili/1696730060702.jpg, _size=303998, album=NULL, genre=NULL, title=1696730060702, width=960, longitude=NULL, is_favorite=0, is_trashed=0, exposure_time=NULL, group_id=NULL, document_id=NULL, generation_added=35977, is_download=0, generation_modified=35979, is_pending=0, date_added=1696730060, mini_thumb_magic=NULL, capture_framerate=NULL, num_tracks=NULL, isprivate=NULL, original_document_id=NULL, bucket_id=-1033692156, relative_path=Pictures/bili/
Row: 4 instance_id=NULL, compilation=NULL, disc_number=NULL, duration=NULL, album_artist=NULL, description=NULL, picasa_id=NULL, resolution=960×1269, latitude=NULL, orientation=0, artist=NULL, author=NULL, inferred_date=NULL, height=1269, is_drm=0, bucket_display_name=bili, owner_package_name=tv.danmaku.bili, f_number=NULL, volume_name=external_primary, date_modified=1696730064, writer=NULL, date_expires=NULL, composer=NULL, _display_name=1696730064913.jpg, scene_capture_type=NULL, datetaken=NULL, mime_type=image/jpeg, bitrate=NULL, cd_track_number=NULL, _id=1000003814, iso=NULL, xmp=BLOB, year=NULL, oem_metadata=NULL, _data=/storage/emulated/0/Pictures/bili/1696730064913.jpg, _size=312671, album=NULL, genre=NULL, title=1696730064913, width=960, longitude=NULL, is_favorite=0, is_trashed=0, exposure_time=NULL, group_id=NULL, document_id=NULL, generation_added=35981, is_download=0, generation_modified=35983, is_pending=0, date_added=1696730064, mini_thumb_magic=NULL, capture_framerate=NULL, num_tracks=NULL, isprivate=NULL, original_document_id=NULL, bucket_id=-1033692156, relative_path=Pictures/bili/
Row: 5 instance_id=NULL, compilation=NULL, disc_number=NULL, duration=NULL, album_artist=NULL, description=NULL, picasa_id=NULL, resolution=4002×3000, latitude=NULL, orientation=NULL, artist=NULL, author=NULL, inferred_date=1772355366000, height=3000, is_drm=0, bucket_display_name=QQ, owner_package_name=com.tencent.mobileqq, f_number=NULL, volume_name=external_primary, date_modified=1772355366, writer=NULL, date_expires=NULL, composer=NULL, _display_name=mmexport1764300303226.jpg, scene_capture_type=NULL, datetaken=NULL, mime_type=image/jpeg, bitrate=NULL, cd_track_number=NULL, _id=1000009118, iso=NULL, xmp=BLOB, year=NULL, oem_metadata=NULL, _data=/storage/emulated/0/Pictures/QQ/mmexport1764300303226.jpg, _size=3136414, album=NULL, genre=NULL, title=mmexport1764300303226, width=4002, longitude=NULL, is_favorite=0, is_trashed=0, exposure_time=NULL, group_id=NULL, document_id=NULL, generation_added=76464, is_download=0, generation_modified=76467, is_pending=0, date_added=1772355366, mini_thumb_magic=NULL, capture_framerate=NULL, num_tracks=NULL, isprivate=NULL, original_document_id=NULL, bucket_id=991102496, relative_path=Pictures/QQ/
Row: 6 instance_id=NULL, compilation=NULL, disc_number=NULL, duration=NULL, album_artist=NULL, description=NULL, picasa_id=NULL, resolution=1440×1920, latitude=NULL, orientation=NULL, artist=NULL, author=NULL, inferred_date=1772355366000, height=1920, is_drm=0, bucket_display_name=QQ, owner_package_name=com.tencent.mobileqq, f_number=NULL, volume_name=external_primary, date_modified=1772355366, writer=NULL, date_expires=NULL, composer=NULL, _display_name=Image_1758265355616.jpg, scene_capture_type=NULL, datetaken=NULL, mime_type=image/jpeg, bitrate=NULL, cd_track_number=NULL, _id=1000009119, iso=0, xmp=BLOB, year=NULL, oem_metadata=NULL, _data=/storage/emulated/0/Pictures/QQ/Image_1758265355616.jpg, _size=162749, album=NULL, genre=NULL, title=Image_1758265355616, width=1440, longitude=NULL, is_favorite=0, is_trashed=0, exposure_time=NULL, group_id=NULL, document_id=NULL, generation_added=76466, is_download=0, generation_modified=76469, is_pending=0, date_added=1772355366, mini_thumb_magic=NULL, capture_framerate=NULL, num_tracks=NULL, isprivate=NULL, original_document_id=NULL, bucket_id=991102496, relative_path=Pictures/QQ/
Row: 7 instance_id=NULL, compilation=NULL, disc_number=NULL, duration=NULL, album_artist=NULL, description=NULL, picasa_id=NULL, resolution=3024×4032, latitude=NULL, orientation=NULL, artist=NULL, author=NULL, inferred_date=1772355356000, height=4032, is_drm=0, bucket_display_name=QQ, owner_package_name=com.tencent.mobileqq, f_number=0.0, volume_name=external_primary, date_modified=1772355367, writer=NULL, date_expires=NULL, composer=NULL, _display_name=IMG_20231007_194504(1).jpg, scene_capture_type=0, datetaken=1772355356000, mime_type=image/jpeg, bitrate=NULL, cd_track_number=NULL, _id=1000009120, iso=0, xmp=BLOB, year=NULL, oem_metadata=NULL, _data=/storage/emulated/0/Pictures/QQ/IMG_20231007_194504(1).jpg, _size=9411716, album=NULL, genre=NULL, title=IMG_20231007_194504(1), width=3024, longitude=NULL, is_favorite=0, is_trashed=0, exposure_time=0.0, group_id=NULL, document_id=NULL, generation_added=76474, is_download=0, generation_modified=76476, is_pending=0, date_added=1772355367, mini_thumb_magic=NULL, capture_framerate=NULL, num_tracks=NULL, isprivate=NULL, original_document_id=NULL, bucket_id=991102496, relative_path=Pictures/QQ/
Row: 8 instance_id=NULL, compilation=NULL, disc_number=NULL, duration=NULL, album_artist=NULL, description=NULL, picasa_id=NULL, resolution=925×1280, latitude=NULL, orientation=NULL, artist=NULL, author=NULL, inferred_date=1772355367000, height=1280, is_drm=0, bucket_display_name=QQ, owner_package_name=com.tencent.mobileqq, f_number=NULL, volume_name=external_primary, date_modified=1772355367, writer=NULL, date_expires=NULL, composer=NULL, _display_name=mmexport1660547970259.jpg, scene_capture_type=NULL, datetaken=NULL, mime_type=image/jpeg, bitrate=NULL, cd_track_number=NULL, _id=1000009121, iso=NULL, xmp=BLOB, year=NULL, oem_metadata=NULL, _data=/storage/emulated/0/Pictures/QQ/mmexport1660547970259.jpg, _size=85984, album=NULL, genre=NULL, title=mmexport1660547970259, width=925, longitude=NULL, is_favorite=0, is_trashed=0, exposure_time=NULL, group_id=NULL, document_id=NULL, generation_added=76479, is_download=0, generation_modified=76481, is_pending=0, date_added=1772355367, mini_thumb_magic=NULL, capture_framerate=NULL, num_tracks=NULL, isprivate=NULL, original_document_id=NULL, bucket_id=991102496, relative_path=Pictures/QQ/
Row: 9 instance_id=NULL, compilation=NULL, disc_number=NULL, duration=NULL, album_artist=NULL, description=NULL, picasa_id=NULL, resolution=4896×6528, latitude=NULL, orientation=NULL, artist=NULL, author=NULL, inferred_date=1772355356000, height=6528, is_drm=0, bucket_display_name=QQ, owner_package_name=com.tencent.mobileqq, f_number=0.0, volume_name=external_primary, date_modified=1772355367, writer=NULL, date_expires=NULL, composer=NULL, _display_name=IMG_20220825_115857(1).jpg, scene_capture_type=0, datetaken=1772355356000, mime_type=image/jpeg, bitrate=NULL, cd_track_number=NULL, _id=1000009122, iso=0, xmp=BLOB, year=NULL, oem_metadata=NULL, _data=/storage/emulated/0/Pictures/QQ/IMG_20220825_115857(1).jpg, _size=5779601, album=NULL, genre=NULL, title=IMG_20220825_115857(1), width=4896, longitude=NULL, is_favorite=0, is_trashed=0, exposure_time=0.0, group_id=NULL, document_id=NULL, generation_added=76482, is_download=0, generation_modified=76486, is_pending=0, date_added=1772355367, mini_thumb_magic=NULL, capture_framerate=NULL, num_tracks=NULL, isprivate=NULL, original_document_id=NULL, bucket_id=991102496, relative_path=Pictures/QQ/
Row: 10 instance_id=NULL, compilation=NULL, disc_number=NULL, duration=NULL, album_artist=NULL, description=NULL, picasa_id=NULL, resolution=4896×6528, latitude=NULL, orientation=NULL, artist=NULL, author=NULL, inferred_date=1772355356000, height=6528, is_drm=0, bucket_display_name=QQ, owner_package_name=com.tencent.mobileqq, f_number=0.0, volume_name=external_primary, date_modified=1772355367, writer=NULL, date_expires=NULL, composer=NULL, _display_name=IMG_20220825_115843(1).jpg, scene_capture_type=0, datetaken=1772355356000, mime_type=image/jpeg, bitrate=NULL, cd_track_number=NULL, _id=1000009123, iso=0, xmp=BLOB, year=NULL, oem_metadata=NULL, _data=/storage/emulated/0/Pictures/QQ/IMG_20220825_115843(1).jpg, _size=5978113, album=NULL, genre=NULL, title=IMG_20220825_115843(1), width=4896, longitude=NULL, is_favorite=0, is_trashed=0, exposure_time=0.0, group_id=NULL, document_id=NULL, generation_added=76487, is_download=0, generation_modified=76491, is_pending=0, date_added=1772355367, mini_thumb_magic=NULL, capture_framerate=NULL, num_tracks=NULL, isprivate=NULL, original_document_id=NULL, bucket_id=991102496, relative_path=Pictures/QQ/
