"query_id","query","relevant_keys","relevant_count"
"q_architecture","ARCHITECTURE","content://media/external/images/media/1000009172;content://media/external/images/media/1000009179;content://media/external/images/media/1000009182;content://media/external/images/media/1000009183;content://media/external/images/media/1000009184;content://media/external/images/media/1000009185;content://media/external/images/media/1000009195;content://media/external/images/media/1000009196;content://media/external/images/media/1000009197;content://media/external/images/media/1000009198;content://media/external/images/media/1000009199;content://media/external/images/media/1000009200;content://media/external/images/media/1000009201;content://media/external/images/media/1000009206;content://media/external/images/media/1000009208;content://media/external/images/media/1000009209;content://media/external/images/media/1000009210;content://media/external/images/media/1000009211;content://media/external/images/media/1000009212;content://media/external/images/media/1000009213;content://media/external/images/media/1000009214;content://media/external/images/media/1000009216;content://media/external/images/media/1000009442;content://media/external/images/media/1000009448;content://media/external/images/media/1000009449;content://media/external/images/media/1000009464;content://media/external/images/media/1000009465;content://media/external/images/media/1000009466;content://media/external/images/media/1000009467;content://media/external/images/media/1000009468;content://media/external/images/media/1000009469;content://media/external/images/media/1000009470;content://media/external/images/media/1000009471;content://media/external/images/media/1000009472;content://media/external/images/media/1000009474;content://media/external/images/media/1000009475;content://media/external/images/media/1000009476;content://media/external/images/media/1000009478;content://media/external/images/media/1000009479;content://media/external/images/media/1000009480;content://media/external/images/media/1000009481;content://media/external/images/media/1000009482;content://media/external/images/media/1000009483;content://media/external/images/media/1000009484;content://media/external/images/media/1000009485;content://media/external/images/media/1000009486;content://media/external/images/media/1000009487;content://media/external/images/media/1000009488;content://media/external/images/media/1000009489;content://media/external/images/media/1000009490;content://media/external/images/media/1000009491;content://media/external/images/media/1000009492;content://media/external/images/media/1000009493;content://media/external/images/media/1000009494;content://media/external/images/media/1000009495;content://media/external/images/media/1000009496;content://media/external/images/media/1000009497;content://media/external/images/media/1000009498;content://media/external/images/media/1000009499;content://media/external/images/media/1000009500;content://media/external/images/media/1000009501;content://media/external/images/media/1000009502;content://media/external/images/media/1000009506;content://media/external/images/media/1000009524;content://media/external/images/media/1000009525;content://media/external/images/media/1000009526;content://media/external/images/media/1000009528;content://media/external/images/media/1000009529;content://media/external/images/media/1000009530;content://media/external/images/media/1000009531;content://media/external/images/media/1000009532;content://media/external/images/media/1000009533;content://media/external/images/media/1000009534;content://media/external/images/media/1000009535;content://media/external/images/media/1000009657;content://media/external/images/media/1000009663;content://media/external/images/media/1000009746","77"
"q_card","CARD","content://media/external/images/media/1000009118;content://media/external/images/media/1000009121;content://media/external/images/media/1000009124;content://media/external/images/media/1000009643;content://media/external/images/media/1000009644;content://media/external/images/media/1000009654;content://media/external/images/media/1000009655;content://media/external/images/media/1000009658;content://media/external/images/media/1000009659;content://media/external/images/media/1000009660;content://media/external/images/media/1000009661;content://media/external/images/media/1000009662","12"
"q_drawing","DRAWING","content://media/external/images/media/54;content://media/external/images/media/1000000145;content://media/external/images/media/1000003813;content://media/external/images/media/1000003814;content://media/external/images/media/1000009162;content://media/external/images/media/1000009215;content://media/external/images/media/1000009217;content://media/external/images/media/1000009220;content://media/external/images/media/1000009230;content://media/external/images/media/1000009432;content://media/external/images/media/1000009433;content://media/external/images/media/1000009434;content://media/external/images/media/1000009435;content://media/external/images/media/1000009436;content://media/external/images/media/1000009527;content://media/external/images/media/1000009542;content://media/external/images/media/1000009563;content://media/external/images/media/1000009564;content://media/external/images/media/1000009565;content://media/external/images/media/1000009566;content://media/external/images/media/1000009567;content://media/external/images/media/1000009568;content://media/external/images/media/1000009569;content://media/external/images/media/1000009570;content://media/external/images/media/1000009571;content://media/external/images/media/1000009572;content://media/external/images/media/1000009573;content://media/external/images/media/1000009574;content://media/external/images/media/1000009575;content://media/external/images/media/1000009576;content://media/external/images/media/1000009577;content://media/external/images/media/1000009578;content://media/external/images/media/1000009579;content://media/external/images/media/1000009580;content://media/external/images/media/1000009581;content://media/external/images/media/1000009582;content://media/external/images/media/1000009583;content://media/external/images/media/1000009585;content://media/external/images/media/1000009586;content://media/external/images/media/1000009587;content://media/external/images/media/1000009588;content://media/external/images/media/1000009589;content://media/external/images/media/1000009590;content://media/external/images/media/1000009591;content://media/external/images/media/1000009592;content://media/external/images/media/1000009593;content://media/external/images/media/1000009594;content://media/external/images/media/1000009595;content://media/external/images/media/1000009596;content://media/external/images/media/1000009597;content://media/external/images/media/1000009598;content://media/external/images/media/1000009599;content://media/external/images/media/1000009600;content://media/external/images/media/1000009601;content://media/external/images/media/1000009602;content://media/external/images/media/1000009603;content://media/external/images/media/1000009604;content://media/external/images/media/1000009605;content://media/external/images/media/1000009606;content://media/external/images/media/1000009607;content://media/external/images/media/1000009608;content://media/external/images/media/1000009609;content://media/external/images/media/1000009610;content://media/external/images/media/1000009611;content://media/external/images/media/1000009612;content://media/external/images/media/1000009613;content://media/external/images/media/1000009614;content://media/external/images/media/1000009615;content://media/external/images/media/1000009616;content://media/external/images/media/1000009617;content://media/external/images/media/1000009618;content://media/external/images/media/1000009619;content://media/external/images/media/1000009620;content://media/external/images/media/1000009621;content://media/external/images/media/1000009622;content://media/external/images/media/1000009623;content://media/external/images/media/1000009624;content://media/external/images/media/1000009625;content://media/external/images/media/1000009626;content://media/external/images/media/1000009627;content://media/external/images/media/1000009628;content://media/external/images/media/1000009629;content://media/external/images/media/1000009630;content://media/external/images/media/1000009631;content://media/external/images/media/1000009632;content://media/external/images/media/1000009633;content://media/external/images/media/1000009634;content://media/external/images/media/1000009635;content://media/external/images/media/1000009637;content://media/external/images/media/1000009639;content://media/external/images/media/1000009640;content://media/external/images/media/1000009641;content://media/external/images/media/1000009642;content://media/external/images/media/1000009651;content://media/external/images/media/1000009664;content://media/external/images/media/1000009665;content://media/external/images/media/1000009668;content://media/external/images/media/1000009675;content://media/external/images/media/1000009685;content://media/external/images/media/1000009686;content://media/external/images/media/1000009690;content://media/external/images/media/1000009691;content://media/external/images/media/1000009692;content://media/external/images/media/1000009694;content://media/external/images/media/1000009695;content://media/external/images/media/1000009698;content://media/external/images/media/1000009700;content://media/external/images/media/1000009701;content://media/external/images/media/1000009715;content://media/external/images/media/1000009716;content://media/external/images/media/1000009720;content://media/external/images/media/1000009721;content://media/external/images/media/1000009724;content://media/external/images/media/1000009725;content://media/external/images/media/1000009727;content://media/external/images/media/1000009728;content://media/external/images/media/1000009731;content://media/external/images/media/1000009732;content://media/external/images/media/1000009734;content://media/external/images/media/1000009735;content://media/external/images/media/1000009737;content://media/external/images/media/1000009738;content://media/external/images/media/1000009739;content://media/external/images/media/1000009742;content://media/external/images/media/1000009749;content://media/external/images/media/1000009754;content://media/external/images/media/1000009758;content://media/external/images/media/1000009759;content://media/external/images/media/1000009763;content://media/external/images/media/1000009765;content://media/external/images/media/1000009768;content://media/external/images/media/1000009769;content://media/external/images/media/1000009776;content://media/external/images/media/1000009777;content://media/external/images/media/1000009778;content://media/external/images/media/1000009779;content://media/external/images/media/1000009785;content://media/external/images/media/1000009788;content://media/external/images/media/1000009789;content://media/external/images/media/1000009790;content://media/external/images/media/1000009793;content://media/external/images/media/1000009794;content://media/external/images/media/1000009795;content://media/external/images/media/1000009796;content://media/external/images/media/1000009797;content://media/external/images/media/1000009806;content://media/external/images/media/1000009807;content://media/external/images/media/1000009808;content://media/external/images/media/1000009819;content://media/external/images/media/1000009820","150"
"q_electronics","ELECTRONICS","content://media/external/images/media/1000009227;content://media/external/images/media/1000009228;content://media/external/images/media/1000009229;content://media/external/images/media/1000009452;content://media/external/images/media/1000009453;content://media/external/images/media/1000009456;content://media/external/images/media/1000009458;content://media/external/images/media/1000009459;content://media/external/images/media/1000009460;content://media/external/images/media/1000009645;content://media/external/images/media/1000009646;content://media/external/images/media/1000009647;content://media/external/images/media/1000009649;content://media/external/images/media/1000009650;content://media/external/images/media/1000009652;content://media/external/images/media/1000009674;content://media/external/images/media/1000009718;content://media/external/images/media/1000009736;content://media/external/images/media/1000009747","19"
"q_food","FOOD","content://media/external/images/media/1000009126;content://media/external/images/media/1000009450;content://media/external/images/media/1000009538;content://media/external/images/media/1000009539;content://media/external/images/media/1000009540;content://media/external/images/media/1000009541;content://media/external/images/media/1000009543;content://media/external/images/media/1000009544;content://media/external/images/media/1000009545;content://media/external/images/media/1000009546;content://media/external/images/media/1000009547;content://media/external/images/media/1000009548;content://media/external/images/media/1000009549;content://media/external/images/media/1000009550;content://media/external/images/media/1000009551;content://media/external/images/media/1000009552;content://media/external/images/media/1000009553;content://media/external/images/media/1000009554;content://media/external/images/media/1000009555;content://media/external/images/media/1000009556;content://media/external/images/media/1000009557;content://media/external/images/media/1000009558;content://media/external/images/media/1000009559;content://media/external/images/media/1000009560;content://media/external/images/media/1000009561;content://media/external/images/media/1000009562;content://media/external/images/media/1000009656;content://media/external/images/media/1000009717","28"
"q_group","GROUP","content://media/external/images/media/1000009125;content://media/external/images/media/1000009131;content://media/external/images/media/1000009132;content://media/external/images/media/1000009164;content://media/external/images/media/1000009165;content://media/external/images/media/1000009166;content://media/external/images/media/1000009167;content://media/external/images/media/1000009168","8"
"q_nature","NATURE","content://media/external/images/media/1000009174;content://media/external/images/media/1000009175;content://media/external/images/media/1000009176;content://media/external/images/media/1000009177;content://media/external/images/media/1000009178;content://media/external/images/media/1000009180;content://media/external/images/media/1000009186;content://media/external/images/media/1000009187;content://media/external/images/media/1000009188;content://media/external/images/media/1000009189;content://media/external/images/media/1000009190;content://media/external/images/media/1000009192;content://media/external/images/media/1000009194;content://media/external/images/media/1000009204;content://media/external/images/media/1000009207;content://media/external/images/media/1000009512;content://media/external/images/media/1000009516;content://media/external/images/media/1000009517;content://media/external/images/media/1000009518;content://media/external/images/media/1000009519;content://media/external/images/media/1000009520;content://media/external/images/media/1000009521;content://media/external/images/media/1000009522;content://media/external/images/media/1000009523","24"
"q_pets","PETS","content://media/external/images/media/1000009218;content://media/external/images/media/1000009221;content://media/external/images/media/1000009223;content://media/external/images/media/1000009225;content://media/external/images/media/1000009803;content://media/external/images/media/1000009804;content://media/external/images/media/1000009805","7"
"q_plants","PLANTS","content://media/external/images/media/1000009191;content://media/external/images/media/1000009193;content://media/external/images/media/1000009202;content://media/external/images/media/1000009203;content://media/external/images/media/1000009205;content://media/external/images/media/1000009429;content://media/external/images/media/1000009431;content://media/external/images/media/1000009511;content://media/external/images/media/1000009513;content://media/external/images/media/1000009514","10"
"q_qrcode","QRCODE","content://media/external/images/media/1000009171","1"
