event,dur_ms,index_available,limit,raw_len,results,session,translated_len,used_hnsw,vectors
text_translate,157.0,,,2,,text-1772448467476,10,,
text_encode,175.0,,,,,text-1772448467476,,,
text_search_ann,30.0,false,4,,,text-1772448467476,,false,503
text_search_total,370.0,false,4,,4,text-1772448467476,,false,
text_translate,156.0,,,2,,text-1772448527915,10,,
text_encode,56.0,,,,,text-1772448527915,,,
text_search_ann,15.0,false,4,,,text-1772448527915,,false,503
text_search_total,233.0,false,4,,4,text-1772448527915,,false,
text_translate,167.0,,,2,,text-1772448535912,7,,
text_encode,59.0,,,,,text-1772448535912,,,
text_search_ann,16.0,false,4,,,text-1772448535912,,false,503
text_search_total,248.0,false,4,,4,text-1772448535912,,false,
text_translate,131.0,,,3,,text-1772448542072,7,,
text_encode,52.0,,,,,text-1772448542072,,,
text_search_ann,16.0,false,4,,,text-1772448542072,,false,503
text_search_total,205.0,false,4,,4,text-1772448542072,,false,
text_translate,144.0,,,3,,text-1772448546703,5,,
text_encode,54.0,,,,,text-1772448546703,,,
text_search_ann,23.0,false,4,,,text-1772448546703,,false,503
text_search_total,226.0,false,4,,4,text-1772448546703,,false,
text_translate,203.0,,,2,,text-1772448554490,15,,
text_encode,62.0,,,,,text-1772448554490,,,
text_search_ann,16.0,false,4,,,text-1772448554490,,false,503
text_search_total,287.0,false,4,,4,text-1772448554490,,false,
text_translate,117.0,,,2,,text-1772448558159,5,,
text_encode,53.0,,,,,text-1772448558159,,,
text_search_ann,15.0,false,4,,,text-1772448558159,,false,503
text_search_total,192.0,false,4,,4,text-1772448558159,,false,
text_translate,117.0,,,2,,text-1772448563755,7,,
text_encode,52.0,,,,,text-1772448563755,,,
text_search_ann,16.0,false,4,,,text-1772448563755,,false,503
text_search_total,190.0,false,4,,4,text-1772448563755,,false,
text_translate,141.0,,,2,,text-1772448569176,11,,
text_encode,52.0,,,,,text-1772448569176,,,
text_search_ann,29.0,false,4,,,text-1772448569176,,false,503
text_search_total,227.0,false,4,,4,text-1772448569176,,false,
text_translate,120.0,,,2,,text-1772448574001,3,,
text_encode,52.0,,,,,text-1772448574001,,,
text_search_ann,16.0,false,4,,,text-1772448574001,,false,503
text_search_total,195.0,false,4,,4,text-1772448574001,,false,
text_translate,231.0,,,3,,text-1772448577931,19,,
text_encode,61.0,,,,,text-1772448577931,,,
text_search_ann,16.0,false,4,,,text-1772448577931,,false,503
text_search_total,313.0,false,4,,4,text-1772448577931,,false,
text_translate,113.0,,,1,,text-1772448583330,4,,
text_encode,53.0,,,,,text-1772448583330,,,
text_search_ann,16.0,false,4,,,text-1772448583330,,false,503
text_search_total,187.0,false,4,,4,text-1772448583330,,false,
text_translate,110.0,,,2,,text-1772448588971,4,,
text_encode,53.0,,,,,text-1772448588971,,,
text_search_ann,15.0,false,4,,,text-1772448588971,,false,503
text_search_total,184.0,false,4,,4,text-1772448588971,,false,
text_translate,166.0,,,2,,text-1772448596395,7,,
text_encode,60.0,,,,,text-1772448596395,,,
text_search_ann,16.0,false,4,,,text-1772448596395,,false,503
text_search_total,248.0,false,4,,4,text-1772448596395,,false,
text_translate,132.0,,,2,,text-1772448602881,8,,
text_encode,63.0,,,,,text-1772448602881,,,
text_search_ann,16.0,false,4,,,text-1772448602881,,false,503
text_search_total,217.0,false,4,,4,text-1772448602881,,false,
text_translate,81.0,,,2,,text-1772448607568,8,,
text_encode,53.0,,,,,text-1772448607568,,,
text_search_ann,16.0,false,4,,,text-1772448607568,,false,503
text_search_total,155.0,false,4,,4,text-1772448607568,,false,
