event,count,mean_ms,p50_ms,p90_ms,p95_ms,p99_ms,max_ms
clip_encode,503,439.36,418.00,534.00,563.00,634.00,1045.00
dino_encode,503,210.36,179.00,296.80,326.40,414.80,783.00
face_encode,503,99.76,81.00,163.80,202.40,335.36,379.00
hnsw_build_clip,1,949.00,949.00,949.00,949.00,949.00,949.00
hnsw_build_dino,1,1304.00,1304.00,1304.00,1304.00,1304.00,1304.00
hnsw_build_face,1,315.00,315.00,315.00,315.00,315.00,315.00
image_query_embedding,14,346.36,326.50,360.30,479.75,648.75,691.00
image_search_ann,14,43.29,40.00,50.70,51.00,51.00,51.00
image_search_face_rerank,14,258.21,238.50,379.60,393.80,397.96,399.00
image_search_total,14,649.86,623.00,730.10,880.40,1080.08,1130.00
text_encode,17,348.24,56.00,188.40,1187.40,3959.88,4653.00
text_search_ann,17,41.35,38.00,52.60,58.40,59.68,60.00
text_search_total,17,796.94,291.00,545.20,2097.80,6973.96,8193.00
text_translate,17,389.71,163.00,414.00,1017.20,2899.44,3370.00
