event,dur_ms,cache_hit,candidates,dim,faces,index_available,limit,media,query_cache_hit,query_faces,ran,raw_len,results,session,size,translated_len,used_hnsw,vectors
clip_encode,314.0,,,,,,,content://media/external/images/media/1000009808,,,,,,embed-full-1772435836100,,,,
dino_encode,147.0,,,,,,,content://media/external/images/media/1000009808,,,,,,embed-full-1772435836100,,,,
face_encode,147.0,,,,1,,,content://media/external/images/media/1000009808,,,,,,embed-full-1772435836100,,,,
clip_encode,325.0,,,,,,,content://media/external/images/media/1000009807,,,,,,embed-full-1772435836100,,,,
dino_encode,127.0,,,,,,,content://media/external/images/media/1000009807,,,,,,embed-full-1772435836100,,,,
face_encode,31.0,,,,0,,,content://media/external/images/media/1000009807,,,,,,embed-full-1772435836100,,,,
clip_encode,297.0,,,,,,,content://media/external/images/media/1000009806,,,,,,embed-full-1772435836100,,,,
dino_encode,129.0,,,,,,,content://media/external/images/media/1000009806,,,,,,embed-full-1772435836100,,,,
face_encode,60.0,,,,0,,,content://media/external/images/media/1000009806,,,,,,embed-full-1772435836100,,,,
clip_encode,334.0,,,,,,,content://media/external/images/media/1000009805,,,,,,embed-full-1772435836100,,,,
dino_encode,136.0,,,,,,,content://media/external/images/media/1000009805,,,,,,embed-full-1772435836100,,,,
face_encode,152.0,,,,1,,,content://media/external/images/media/1000009805,,,,,,embed-full-1772435836100,,,,
clip_encode,330.0,,,,,,,content://media/external/images/media/1000009804,,,,,,embed-full-1772435836100,,,,
dino_encode,143.0,,,,,,,content://media/external/images/media/1000009804,,,,,,embed-full-1772435836100,,,,
face_encode,23.0,,,,0,,,content://media/external/images/media/1000009804,,,,,,embed-full-1772435836100,,,,
clip_encode,323.0,,,,,,,content://media/external/images/media/1000009803,,,,,,embed-full-1772435836100,,,,
dino_encode,135.0,,,,,,,content://media/external/images/media/1000009803,,,,,,embed-full-1772435836100,,,,
face_encode,131.0,,,,1,,,content://media/external/images/media/1000009803,,,,,,embed-full-1772435836100,,,,
clip_encode,357.0,,,,,,,content://media/external/images/media/1000009802,,,,,,embed-full-1772435836100,,,,
dino_encode,159.0,,,,,,,content://media/external/images/media/1000009802,,,,,,embed-full-1772435836100,,,,
face_encode,127.0,,,,1,,,content://media/external/images/media/1000009802,,,,,,embed-full-1772435836100,,,,
