event,dur_ms,index_available,limit,raw_len,results,session,translated_len,used_hnsw,vectors
text_translate,160.0,,,4,,text-1772440530433,10,,
text_encode,58.0,,,,,text-1772440530433,,,
text_search_ann,16.0,false,4,,,text-1772440530433,,false,503
text_search_total,240.0,false,4,,4,text-1772440530433,,false,
text_translate,377.0,,,5,,text-1772440536834,23,,
text_encode,58.0,,,,,text-1772440536834,,,
text_search_ann,16.0,false,4,,,text-1772440536834,,false,503
text_search_total,457.0,false,4,,4,text-1772440536834,,false,
text_translate,111.0,,,2,,text-1772440546730,4,,
text_encode,55.0,,,,,text-1772440546730,,,
text_search_ann,16.0,false,4,,,text-1772440546730,,false,503
text_search_total,187.0,false,4,,4,text-1772440546730,,false,
text_translate,173.0,,,2,,text-1772440551242,5,,
text_encode,55.0,,,,,text-1772440551242,,,
text_search_ann,16.0,false,4,,,text-1772440551242,,false,503
text_search_total,249.0,false,4,,4,text-1772440551242,,false,
text_translate,150.0,,,2,,text-1772440554937,4,,
text_encode,52.0,,,,,text-1772440554937,,,
text_search_ann,16.0,false,4,,,text-1772440554937,,false,503
text_search_total,224.0,false,4,,4,text-1772440554937,,false,
text_translate,135.0,,,3,,text-1772440562783,9,,
text_encode,57.0,,,,,text-1772440562783,,,
text_search_ann,16.0,false,4,,,text-1772440562783,,false,503
text_search_total,215.0,false,4,,4,text-1772440562783,,false,
text_translate,126.0,,,2,,text-1772440567972,5,,
text_encode,56.0,,,,,text-1772440567972,,,
text_search_ann,16.0,false,4,,,text-1772440567972,,false,503
text_search_total,204.0,false,4,,4,text-1772440567972,,false,
text_translate,157.0,,,2,,text-1772440577153,7,,
text_encode,54.0,,,,,text-1772440577153,,,
text_search_ann,16.0,false,4,,,text-1772440577153,,false,503
text_search_total,233.0,false,4,,4,text-1772440577153,,false,
text_translate,171.0,,,4,,text-1772440584199,18,,
text_encode,55.0,,,,,text-1772440584199,,,
text_search_ann,16.0,false,4,,,text-1772440584199,,false,503
text_search_total,246.0,false,4,,4,text-1772440584199,,false,
text_translate,158.0,,,2,,text-1772440590835,8,,
text_encode,55.0,,,,,text-1772440590835,,,
text_search_ann,15.0,false,4,,,text-1772440590835,,false,503
text_search_total,234.0,false,4,,4,text-1772440590835,,false,
text_translate,118.0,,,2,,text-1772440597309,5,,
text_encode,54.0,,,,,text-1772440597309,,,
text_search_ann,15.0,false,4,,,text-1772440597309,,false,503
text_search_total,193.0,false,4,,4,text-1772440597309,,false,
